"id","DaysTillDue","TimeToComplete","Difficulty","Priority"
2,1,65,6,4
2,2,50,5,2
2,1,30,4,3
2,2,90,8,3
2,6,60,6,1
2,4,60,6,2
2,1,70,6,4
2,2,70,6,3
2,1,35,4,3
2,2,25,4,2
2,4,85,7,2
2,3,90,8,3
2,2,85,7,3
2,2,35,4,2
2,6,75,7,2
2,5,65,6,1
2,2,35,4,2
2,2,50,5,2
2,1,30,4,3
2,2,55,5,2
2,4,40,4,1
2,2,50,5,2
2,2,50,5,2
2,2,90,8,3
2,1,55,5,4
2,5,65,6,1
2,1,60,6,4
2,4,120,10,3
2,2,55,5,2
2,2,35,4,2
2,1,45,5,3
2,4,45,5,1
2,2,80,7,3
2,1,35,4,3
2,2,50,5,2
2,1,55,5,4
2,6,55,5,1
2,2,70,6,3
2,1,115,9,5
2,1,50,5,3
2,2,75,7,3
2,2,45,5,2
2,3,45,5,2
2,2,50,5,2
2,2,55,5,2
2,6,45,5,1
2,5,55,5,1
2,2,40,4,2
2,3,70,6,2
2,1,65,6,4
2,1,50,5,4
2,6,45,5,1
2,2,50,5,2
2,2,80,7,3
2,4,85,7,2
2,5,95,8,2
2,1,65,6,4
2,4,60,6,2
2,3,50,5,2
2,2,40,4,2
2,5,40,4,1
2,2,50,5,2
2,5,55,5,1
2,1,70,6,4
2,2,50,5,2
2,2,65,6,3
2,1,85,7,4
2,2,50,5,2
2,2,40,4,2
2,5,60,6,1
2,1,70,6,4
2,3,45,5,2
2,2,50,5,2
2,4,80,7,2
2,4,70,6,2
2,1,45,5,3
2,2,80,7,3
2,3,65,6,2
2,2,85,7,3
2,4,55,5,1
2,1,55,5,4
2,2,40,4,2
2,2,105,9,4
2,1,65,6,4
2,2,55,5,2
2,3,60,6,2
2,3,65,6,2
2,3,95,8,3
2,1,50,5,3
2,2,45,5,2
2,4,70,6,2
2,1,45,5,3
2,2,105,9,4
2,6,55,5,1
2,5,75,7,2
2,2,55,5,2
2,4,80,7,2
2,1,55,5,4
2,1,50,5,3
2,2,50,5,2
2,1,85,7,4
2,4,50,5,1
2,1,95,8,4
2,1,65,6,4
2,2,50,5,2
2,3,75,7,2
2,1,60,6,4
2,3,85,7,2
2,3,45,5,2
2,1,45,5,3
2,1,60,6,4
2,1,35,4,3
2,5,45,5,1
2,1,70,6,4
2,2,45,5,2
2,4,75,7,2
2,1,50,5,3
2,2,65,6,3
2,1,70,6,4
2,2,60,6,3
2,1,60,6,4
2,3,40,4,2
2,5,30,4,1
2,2,55,5,2
2,2,80,7,3
2,3,70,6,2
2,1,80,7,4
2,2,40,4,2
2,4,30,4,1
2,4,55,5,1
2,3,75,7,2
2,5,35,4,1
2,1,35,4,3
2,1,55,5,3
2,2,50,5,2
2,1,80,7,4
2,2,50,5,2
2,2,65,6,3
2,5,75,7,2
2,4,70,6,2
2,3,80,7,2
2,1,60,6,4
2,1,75,7,4
2,2,60,6,3
2,2,35,4,2
2,2,30,4,2
2,2,65,6,3
2,4,75,7,2
2,2,45,5,2
2,2,70,6,3
2,3,65,6,2
2,1,60,6,4
2,1,60,6,4
2,1,60,6,4
2,5,70,6,1
2,2,45,5,2
2,2,75,7,3
2,2,45,5,2
2,4,65,6,2
2,1,45,5,3
2,2,65,6,3
2,4,35,4,1
2,2,60,6,3
2,4,100,8,2
2,3,55,5,2
2,2,60,6,3
2,1,60,6,4
2,2,65,6,3
2,2,105,9,3
2,2,65,6,3
2,5,65,6,1
2,1,115,9,5
2,3,70,6,2
2,2,75,7,3
2,1,60,6,4
2,2,70,6,3
2,2,80,7,3
2,1,60,6,4
2,3,50,5,2
2,4,65,6,2
2,2,65,6,3
2,4,60,6,2
2,2,70,6,3
2,2,65,6,3
2,3,60,6,2
2,4,35,4,1
2,1,60,6,4
2,1,80,7,4
2,3,70,6,2
2,2,50,5,2
2,3,60,6,2
2,1,50,5,3
2,3,100,8,3
2,2,95,8,3
2,3,50,5,2
2,1,75,7,4
2,2,45,5,2
2,3,75,7,2
2,1,85,7,4
2,3,60,6,2
2,1,70,6,4
2,2,40,4,2
2,3,60,6,2
2,1,60,6,4
2,1,80,7,4
2,1,105,9,5
2,1,60,6,4
2,4,35,4,1
2,2,70,6,3
2,2,45,5,2
2,1,55,5,4
2,5,35,4,1
2,2,65,6,3
2,1,75,7,4
2,1,55,5,4
2,3,105,9,3
2,2,45,5,2
2,2,50,5,2
2,2,60,6,3
2,1,85,7,4
2,2,110,9,4
2,1,65,6,4
2,2,45,5,2
2,2,75,7,3
2,4,70,6,2
2,3,80,7,2
2,6,65,6,1
2,4,50,5,1
2,2,50,5,2
2,2,40,4,2
2,2,45,5,2
2,1,45,5,3
2,2,65,6,3
2,6,115,9,2
2,1,70,6,4
2,6,75,7,2
2,1,75,7,4
2,2,60,6,3
2,4,75,7,2
2,1,45,5,3
2,1,70,6,4
2,1,40,4,3
2,2,75,7,3
2,4,70,6,2
2,2,55,5,2
2,2,65,6,3
2,2,70,6,3
2,1,45,5,3
2,2,50,5,2
2,2,100,8,3
2,2,50,5,2
2,1,35,4,3
2,2,70,6,3
2,2,50,5,2
2,1,55,5,3
2,2,60,6,3
2,3,40,4,2
2,2,55,5,2
2,1,30,4,3
2,1,55,5,4
2,1,45,5,3
2,2,80,7,3
2,1,50,5,3
2,3,30,4,1
2,5,60,6,1
2,5,55,5,1
2,2,60,6,3
2,2,50,5,2
2,3,55,5,2
2,2,85,7,3
2,4,50,5,1
2,4,80,7,2
2,4,45,5,1
2,2,65,6,3
2,1,70,6,4
2,1,45,5,3
2,1,75,7,4
2,2,65,6,3
2,1,35,4,3
2,2,60,6,3
2,1,55,5,4
2,1,70,6,4
2,1,45,5,3
2,4,55,5,1
2,1,65,6,4
2,2,60,6,3
2,4,45,5,1
2,1,70,6,4
2,1,70,6,4
2,5,80,7,2
2,2,70,6,3
2,1,50,5,3
2,1,60,6,4
2,1,60,6,4
2,4,55,5,1
2,2,90,8,3
2,4,60,6,2
2,3,80,7,2
2,5,65,6,1
2,5,70,6,1
2,2,65,6,3
2,1,60,6,4
2,2,35,4,2
2,1,70,6,4
2,3,35,4,1
2,2,50,5,2
2,2,95,8,3
2,3,55,5,2
2,1,70,6,4
2,2,55,5,2
2,5,50,5,1
2,2,45,5,2
2,1,80,7,4
2,3,45,5,2
2,2,80,7,3
2,3,60,6,2
2,2,50,5,2
2,2,70,6,3
2,2,50,5,2
2,3,50,5,2
2,2,35,4,2
2,2,65,6,3
2,2,65,6,3
2,2,55,5,2
2,1,55,5,4
2,6,100,8,2
2,1,60,6,4
2,1,60,6,4
2,4,90,8,2
2,1,30,4,3
2,2,70,6,3
2,2,35,4,2
2,2,35,4,2
2,2,60,6,3
2,1,75,7,4
2,2,70,6,3
2,4,70,6,2
2,4,70,6,2
2,4,65,6,2
2,4,75,7,2
2,3,65,6,2
2,4,110,9,2
2,4,105,9,2
2,1,110,9,5
2,2,70,6,3
2,2,80,7,3
2,4,40,4,1
2,1,90,8,4
2,3,45,5,2
2,3,60,6,2
2,5,50,5,1
2,1,55,5,4
2,2,55,5,2
2,1,75,7,4
2,2,80,7,3
2,3,80,7,2
2,2,60,6,3
2,3,45,5,2
2,3,45,5,2
2,2,50,5,2
2,3,60,6,2
2,6,70,6,1
2,1,50,5,3
2,5,60,6,1
2,2,45,5,2
2,3,75,7,2
2,1,45,5,3
2,1,55,5,4
2,2,65,6,3
2,1,95,8,4
2,1,45,5,3
2,2,70,6,3
2,2,80,7,3
2,3,65,6,2
2,1,65,6,4
2,1,60,6,4
2,2,40,4,2
2,2,55,5,2
2,4,85,7,2
2,2,55,5,2
2,1,60,6,4
2,2,50,5,2
2,1,45,5,3
2,2,60,6,3
2,3,55,5,2
2,1,45,5,3
2,1,20,3,3
2,2,55,5,3
2,5,55,5,1
2,2,55,5,2
2,2,115,9,4
2,1,45,5,3
2,2,40,4,2
2,1,60,6,4
2,1,50,5,3
2,2,50,5,2
2,2,40,4,2
2,2,40,4,2
2,2,35,4,2
2,2,35,4,2
2,1,60,6,4
2,2,45,5,2
2,2,60,6,3
2,5,45,5,1
2,2,35,4,2
2,3,45,5,2
2,3,65,6,2
2,2,50,5,2
2,1,50,5,3
2,1,40,4,3
2,2,55,5,2
2,1,105,9,5
2,2,45,5,2
2,1,60,6,4
2,2,60,6,3
2,6,45,5,1
2,2,60,6,3
2,1,45,5,3
2,1,80,7,4
2,2,55,5,2
2,1,30,4,3
2,6,55,5,1
2,2,60,6,3
2,1,55,5,4
2,2,55,5,3
2,5,80,7,2
2,1,35,4,3
2,2,70,6,3
2,1,45,5,3
2,2,50,5,2
2,2,90,8,3
2,2,65,6,3
2,3,60,6,2
2,2,60,6,3
2,2,55,5,2
2,2,90,8,3
2,1,70,6,4
2,1,85,7,4
2,2,45,5,2
2,2,45,5,2
2,1,85,7,4
2,2,55,5,2
2,1,75,7,4
2,5,60,6,1
2,2,75,7,3
2,2,80,7,3
2,2,60,6,3
2,2,60,6,3
2,2,70,6,3
2,3,30,4,1
2,2,95,8,3
2,2,30,4,2
2,2,55,5,2
2,2,55,5,3
2,1,50,5,3
2,1,50,5,3
2,3,75,7,2
2,3,65,6,2
2,2,70,6,3
2,1,85,7,4
2,2,70,6,3
2,2,55,5,2
2,6,45,5,1
2,2,65,6,3
2,1,55,5,4
2,4,50,5,1
2,2,50,5,2
2,5,70,6,1
2,1,60,6,4
2,1,110,9,5
2,2,75,7,3
2,2,55,5,2
2,1,45,5,3
2,3,75,7,2
2,4,80,7,2
2,2,55,5,3
2,1,50,5,3
2,2,35,4,2
2,3,30,4,1
2,1,45,5,3
2,2,75,7,3
2,3,60,6,2
2,1,55,5,4
2,3,40,4,2
2,1,95,8,4
2,2,75,7,3
2,4,85,7,2
2,1,75,7,4
2,5,105,9,2
2,1,45,5,3
2,2,55,5,2
2,2,60,6,3
2,2,55,5,2
2,4,50,5,1
2,1,60,6,4
2,1,50,5,3
2,2,35,4,2
2,2,45,5,2
2,6,70,6,1
2,2,45,5,2
2,2,70,6,3
2,3,55,5,2
2,2,60,6,3
2,2,75,7,3
2,2,55,5,2
2,1,65,6,4
2,1,90,8,4
2,2,50,5,2
2,2,60,6,3
2,1,55,5,4
2,2,75,7,3
2,2,65,6,3
2,2,50,5,2
2,1,45,5,3
2,1,60,6,4
2,2,55,5,2
2,3,30,4,1
2,1,115,9,5
2,4,60,6,2
2,3,85,7,2
2,3,95,8,3
2,3,55,5,2
2,5,70,6,1
2,2,40,4,2
2,2,50,5,2
2,2,80,7,3
2,2,90,8,3
2,2,40,4,2
2,2,35,4,2
2,2,35,4,2
2,1,40,4,3
2,1,50,5,3
2,2,50,5,2
2,1,80,7,4
2,5,50,5,1
2,1,55,5,4
2,2,60,6,3
2,2,60,6,3
2,2,105,9,3
2,2,50,5,2
2,2,70,6,3
2,6,70,6,1
2,1,75,7,4
2,2,65,6,3
2,2,50,5,2
2,2,65,6,3
2,6,40,4,1
2,1,35,4,3
2,2,50,5,2
2,2,40,4,2
2,6,45,5,1
2,3,65,6,2
2,2,55,5,2
2,2,60,6,3
2,2,85,7,3
2,1,65,6,4
2,2,60,6,3
2,1,50,5,3
2,1,60,6,4
2,5,45,5,1
2,2,60,6,3
2,1,55,5,4
2,3,60,6,2
2,1,55,5,4
2,2,85,7,3
2,2,50,5,2
2,1,80,7,4
2,2,90,8,3
2,2,60,6,3
2,4,45,5,1
2,2,55,5,2
2,2,80,7,3
2,2,75,7,3
2,6,70,6,1
2,1,45,5,3
2,2,65,6,3
2,2,70,6,3
2,2,60,6,3
2,2,75,7,3
2,2,50,5,2
2,1,55,5,4
2,2,80,7,3
2,2,70,6,3
2,3,60,6,2
2,3,40,4,2
2,2,85,7,3
2,5,55,5,1
2,1,80,7,4
2,5,55,5,1
2,2,40,4,2
2,1,75,7,4
2,4,40,4,1
2,3,40,4,2
2,2,90,8,3
2,1,35,4,3
2,2,75,7,3
2,1,80,7,4
2,2,85,7,3
2,4,115,9,2
2,2,55,5,2
2,6,60,6,1
2,1,65,6,4
2,2,60,6,3
2,2,95,8,3
2,4,65,6,2
2,3,60,6,2
2,1,50,5,3
2,2,45,5,2
2,3,60,6,2
2,2,40,4,2
2,2,60,6,3
2,1,50,5,3
2,2,50,5,2
2,3,55,5,2
2,2,50,5,2
2,6,40,4,1
2,2,65,6,3
2,2,70,6,3
2,2,60,6,3
2,2,50,5,2
2,1,65,6,4
2,1,75,7,4
2,2,80,7,3
2,2,35,4,2
2,2,55,5,2
2,4,125,10,3
2,2,55,5,2
2,4,60,6,2
2,1,65,6,4
2,2,75,7,3
2,1,70,6,4
2,5,85,7,2
2,1,65,6,4
2,2,60,6,3
2,1,60,6,4
2,3,75,7,2
2,2,60,6,3
2,2,65,6,3
2,2,75,7,3
2,4,65,6,2
2,2,60,6,3
2,3,70,6,2
2,6,55,5,1
2,3,105,9,3
2,2,65,6,3
2,2,60,6,3
2,1,40,4,3
2,2,80,7,3
2,3,30,4,1
2,4,40,4,1
2,3,50,5,2
2,1,80,7,4
2,5,60,6,1
2,2,70,6,3
2,4,50,5,1
2,2,60,6,3
2,2,70,6,3
2,1,60,6,4
2,1,35,4,3
2,3,70,6,2
2,1,110,9,5
2,1,90,8,4
2,6,25,4,1
2,4,75,7,2
2,2,65,6,3
2,4,40,4,1
2,2,45,5,2
2,1,40,4,3
2,2,70,6,3
2,2,75,7,3
2,2,55,5,2
2,2,55,5,2
2,6,75,7,2
2,2,60,6,3
2,3,60,6,2
2,5,45,5,1
2,1,70,6,4
2,2,60,6,3
2,3,45,5,2
2,4,55,5,1
2,2,75,7,3
2,4,75,7,2
2,1,60,6,4
2,1,55,5,4
2,2,45,5,2
2,2,50,5,2
2,3,60,6,2
2,4,50,5,1
2,4,95,8,2
2,4,35,4,1
2,2,70,6,3
2,1,75,7,4
2,1,55,5,4
2,2,85,7,3
2,2,95,8,3
2,6,65,6,1
2,1,40,4,3
2,2,50,5,2
2,2,45,5,2
2,1,75,7,4
2,1,70,6,4
2,2,35,4,2
2,2,90,8,3
2,1,55,5,4
2,2,70,6,3
2,5,55,5,1
2,2,50,5,2
2,2,70,6,3
2,2,30,4,2
2,1,55,5,4
2,2,45,5,2
2,1,65,6,4
2,1,70,6,4
2,1,45,5,3
2,2,30,4,2
2,2,50,5,2
2,2,35,4,2
2,2,55,5,2
2,1,55,5,4
2,2,70,6,3
2,1,90,8,4
2,5,50,5,1
2,4,95,8,2
2,2,85,7,3
2,4,35,4,1
2,2,50,5,2
2,1,110,9,5
2,2,60,6,3
2,2,60,6,3
2,2,55,5,2
2,1,80,7,4
2,1,90,8,4
2,1,50,5,3
2,6,35,4,1
2,1,45,5,3
2,2,60,6,3
2,2,105,9,4
2,2,50,5,2
2,1,25,4,3
2,2,50,5,2
2,1,30,4,3
2,2,45,5,2
2,1,70,6,4
2,1,50,5,3
2,1,55,5,4
2,2,55,5,2
2,1,40,4,3
2,2,70,6,3
2,5,35,4,1
2,4,35,4,1
2,4,45,5,1
2,1,35,4,3
2,2,50,5,2
2,2,40,4,2
2,2,85,7,3
2,2,65,6,3
2,1,75,7,4
2,2,40,4,2
2,1,45,5,3
2,2,45,5,2
2,1,45,5,3
2,5,80,7,2
2,2,50,5,2
2,2,70,6,3
2,4,50,5,1
2,4,45,5,1
2,1,65,6,4
2,1,120,10,5
2,2,70,6,3
2,1,85,7,4
2,2,55,5,2
2,5,80,7,2
2,1,50,5,3
2,1,75,7,4
2,1,100,8,4
2,2,50,5,2
2,2,45,5,2
2,2,60,6,3
2,3,80,7,2
2,1,50,5,3
2,3,60,6,2
2,2,40,4,2
2,1,75,7,4
2,1,80,7,4
2,4,90,8,2
2,4,55,5,1
2,2,50,5,2
2,3,95,8,3
2,6,75,7,2
2,4,55,5,1
2,4,60,6,2
2,3,75,7,2
2,3,90,8,3
2,2,100,8,3
2,4,35,4,1
2,4,35,4,1
2,2,60,6,3
2,2,40,4,2
2,2,60,6,3
2,4,55,5,1
2,2,50,5,2
2,1,50,5,3
2,1,45,5,3
2,1,65,6,4
2,2,60,6,3
2,2,65,6,3
2,1,70,6,4
2,1,45,5,3
2,2,55,5,3
2,1,40,4,3
2,2,60,6,3
2,1,70,6,4
2,2,70,6,3
2,2,50,5,2
2,3,40,4,1
2,1,50,5,3
2,3,85,7,2
2,1,90,8,4
2,1,40,4,3
2,2,60,6,3
2,2,55,5,3
2,2,100,8,3
2,1,55,5,4
2,3,50,5,2
2,1,65,6,4
2,2,75,7,3
2,1,40,4,3
2,1,55,5,4
2,2,50,5,2
2,4,70,6,2
2,1,50,5,3
2,1,40,4,3
2,1,45,5,3
2,1,70,6,4
2,1,35,4,3
2,2,55,5,3
2,1,70,6,4
2,1,35,4,3
2,2,80,7,3
2,1,60,6,4
2,1,40,4,3
2,2,45,5,2
2,1,55,5,3
2,2,45,5,2
2,1,80,7,4
2,1,65,6,4
2,2,45,5,2
2,2,55,5,2
2,1,45,5,3
2,2,65,6,3
2,1,45,5,3
2,5,110,9,2
2,2,65,6,3
2,4,55,5,1
2,1,70,6,4
2,2,85,7,3
2,3,55,5,2
2,5,50,5,1
2,5,55,5,1
2,1,60,6,4
2,1,85,7,4
2,2,60,6,3
2,1,75,7,4
2,1,85,7,4
2,5,90,8,2
2,2,50,5,2
2,1,60,6,4
2,2,85,7,3
2,2,75,7,3
2,1,45,5,3
2,2,65,6,3
2,2,65,6,3
2,1,50,5,3
2,1,70,6,4
2,4,80,7,2
2,1,30,4,3
2,3,60,6,2
2,2,50,5,2
2,2,45,5,2
2,1,85,7,4
2,2,40,4,2
2,2,60,6,3
2,5,40,4,1
2,2,40,4,2
2,3,80,7,2
2,6,45,5,1
2,2,80,7,3
2,1,55,5,4
2,5,65,6,1
2,2,50,5,2
2,4,25,4,1
2,1,60,6,4
2,3,55,5,2
2,3,40,4,1
2,3,85,7,2
2,5,85,7,2
2,2,50,5,2
2,1,75,7,4
2,1,60,6,4
2,3,55,5,2
2,1,35,4,3
2,2,75,7,3
2,1,25,4,3
2,1,35,4,3
2,2,60,6,3
2,2,55,5,2
2,5,60,6,1
2,4,40,4,1
2,1,85,7,4
2,2,60,6,3
2,1,45,5,3
2,5,70,6,1
2,2,50,5,2
2,6,50,5,1
2,6,70,6,1
2,1,40,4,3
2,2,60,6,3
2,1,80,7,4
2,1,40,4,3
2,2,45,5,2
2,2,35,4,2
2,2,35,4,2
2,4,50,5,1
2,4,60,6,2
2,2,65,6,3
2,3,85,7,2
2,1,50,5,3
2,1,35,4,3
2,3,45,5,2
2,1,50,5,3
2,1,60,6,4
2,2,35,4,2
2,3,40,4,2
2,1,55,5,3
2,4,55,5,1
2,2,40,4,2
2,2,65,6,3
2,4,50,5,1
2,4,35,4,1
2,3,65,6,2
2,2,45,5,2
2,5,70,6,1
2,1,35,4,3
2,4,65,6,2
2,2,75,7,3
2,1,90,8,4
2,1,85,7,4
2,3,55,5,2
2,2,50,5,2
2,1,65,6,4
2,2,105,9,4
2,4,75,7,2
2,2,35,4,2
2,1,40,4,3
2,1,70,6,4
2,3,35,4,1
2,1,45,5,3
2,1,35,4,3
2,2,90,8,3
2,2,55,5,2
2,4,45,5,1
2,4,45,5,1
2,4,65,6,2
2,1,50,5,3
2,1,45,5,3
2,4,85,7,2
2,1,60,6,4
2,2,60,6,3
2,1,95,8,4
2,6,45,5,1
2,2,75,7,3
2,2,60,6,3
2,2,55,5,2
2,3,40,4,2
2,6,115,9,2
2,2,40,4,2
2,6,75,7,2
2,1,55,5,4
2,1,80,7,4
2,1,55,5,4
2,1,55,5,4
2,1,55,5,4
2,1,45,5,3
2,4,70,6,2
2,6,70,6,1
2,3,65,6,2
2,2,60,6,3
2,1,85,7,4
2,2,45,5,2
2,6,75,7,2
2,2,40,4,2
2,1,40,4,3
2,5,40,4,1
2,2,75,7,3
2,2,30,4,2
2,1,90,8,4
2,1,50,5,3
2,2,65,6,3
2,1,75,7,4
2,5,40,4,1
2,2,70,6,3
2,3,80,7,2
2,2,50,5,2
2,3,80,7,2
2,2,75,7,3
2,6,70,6,1
2,1,45,5,3
2,5,55,5,1
2,2,45,5,2
2,2,70,6,3
2,2,25,4,2
2,2,35,4,2
2,1,65,6,4
2,1,40,4,3
2,2,75,7,3
2,2,50,5,2
2,3,35,4,1
2,1,60,6,4
2,2,50,5,2
2,1,35,4,3
2,4,95,8,2
2,2,45,5,2
2,1,55,5,4
2,2,55,5,2
2,2,90,8,3
2,2,25,4,2
2,1,25,4,3
2,2,55,5,2
2,4,45,5,1
2,3,100,8,3
2,1,30,4,3
2,1,35,4,3
2,3,95,8,3
2,1,70,6,4
2,2,70,6,3
2,1,45,5,3
2,1,65,6,4
2,4,40,4,1
2,2,55,5,2
2,3,50,5,2
2,2,55,5,2
2,3,65,6,2
2,2,50,5,2
2,5,50,5,1
2,1,80,7,4
2,2,75,7,3
2,1,65,6,4
2,1,50,5,3
2,3,35,4,1
2,2,65,6,3
2,6,70,6,1
2,2,50,5,2
2,3,60,6,2
2,1,30,4,3
2,2,45,5,2
2,4,45,5,1
2,2,50,5,2
2,2,70,6,3
2,5,85,7,2
2,1,90,8,4
2,3,35,4,1
2,1,65,6,4
2,4,50,5,1
2,2,50,5,2
2,1,85,7,4
2,4,75,7,2
2,2,75,7,3
2,2,55,5,2
2,2,50,5,2
2,3,65,6,2
2,5,70,6,1
2,2,90,8,3
2,1,60,6,4
2,1,50,5,3
2,1,60,6,4
2,3,60,6,2
2,2,50,5,2
2,1,105,9,5
2,1,30,4,3
2,1,55,5,4
2,2,50,5,2
2,2,90,8,3
2,2,45,5,2
2,1,40,4,3
2,2,105,9,4
2,1,65,6,4
2,1,75,7,4
2,2,35,4,2
2,3,65,6,2
2,2,45,5,2
2,1,50,5,3
2,1,65,6,4
2,2,60,6,3
2,2,120,10,4
2,1,40,4,3
2,2,85,7,3
2,5,45,5,1
2,2,50,5,2
2,2,90,8,3
2,2,35,4,2
2,2,45,5,2
2,3,65,6,2
2,1,50,5,3
2,2,75,7,3
2,1,50,5,3
2,3,40,4,2
2,3,55,5,2
2,1,80,7,4
2,2,25,4,2
2,3,85,7,2
2,1,45,5,3
2,1,35,4,3
2,2,60,6,3
2,2,50,5,2
2,2,60,6,3
2,4,40,4,1
2,4,35,4,1
2,5,50,5,1
2,2,85,7,3
2,3,55,5,2
2,1,35,4,3
2,2,30,4,2
2,3,80,7,2
2,1,30,4,3
2,1,35,4,3
2,2,55,5,3
2,2,40,4,2
2,1,70,6,4
2,2,55,5,2
2,2,100,8,3
2,3,95,8,3
2,2,30,4,2
2,2,50,5,2
2,5,50,5,1
2,5,55,5,1
2,1,55,5,4
2,1,55,5,4
2,4,45,5,1
2,1,55,5,4
2,1,75,7,4
2,2,75,7,3
2,2,45,5,2
2,1,40,4,3
2,2,25,4,2
2,1,35,4,3
2,1,60,6,4
2,2,55,5,2
2,4,30,4,1
2,1,55,5,4
2,2,45,5,2
2,2,70,6,3
2,2,70,6,3
2,4,55,5,1
2,4,55,5,1
2,4,40,4,1
2,2,55,5,2
2,4,50,5,1
2,6,60,6,1
2,3,50,5,2
2,2,80,7,3
2,5,70,6,1
2,6,60,6,1
2,6,40,4,1
2,3,65,6,2
2,2,95,8,3
2,1,60,6,4
2,2,80,7,3
2,1,60,6,4
2,1,55,5,4
2,2,55,5,2
2,2,45,5,2
2,2,100,8,3
2,1,65,6,4
2,6,65,6,1
2,3,40,4,1
2,3,50,5,2
2,6,65,6,1
2,4,60,6,2
2,4,75,7,2
2,1,65,6,4
2,1,75,7,4
2,1,50,5,3
2,1,55,5,4
2,1,55,5,4
2,1,55,5,4
2,1,50,5,3
2,2,65,6,3
2,2,55,5,2
2,2,50,5,2
2,3,50,5,2
2,3,55,5,2
2,2,50,5,2
2,1,95,8,4
2,2,35,4,2
2,1,90,8,4
2,5,25,4,1
2,2,75,7,3
2,3,40,4,2
2,2,70,6,3
2,3,105,9,3
2,2,80,7,3
2,2,40,4,2
2,3,60,6,2
2,2,50,5,2
2,1,40,4,3
2,4,50,5,1
2,1,80,7,4
2,1,55,5,4
2,2,45,5,2
2,2,65,6,3
2,4,40,4,1
2,4,60,6,2
2,2,50,5,2
2,3,25,4,1
2,1,55,5,4
2,1,65,6,4
2,6,60,6,1
2,2,65,6,3
2,4,45,5,1
2,1,60,6,4
2,3,60,6,2
2,4,85,7,2
2,4,75,7,2
2,2,50,5,2
2,1,50,5,3
2,3,55,5,2
2,1,45,5,3
2,2,50,5,2
2,2,50,5,2
2,1,30,4,3
2,1,70,6,4
2,1,40,4,3
2,1,35,4,3
2,1,70,6,4
2,2,35,4,2
2,4,45,5,1
2,4,75,7,2
2,1,65,6,4
2,4,55,5,1
2,2,70,6,3
2,2,60,6,3
2,4,80,7,2
2,1,80,7,4
2,4,75,7,2
2,6,50,5,1
2,1,95,8,4
2,4,55,5,1
2,3,60,6,2
2,2,60,6,3
2,3,60,6,2
2,2,40,4,2
2,2,45,5,2
2,1,55,5,4
2,4,100,8,2
2,1,65,6,4
2,1,70,6,4
2,1,50,5,3
2,2,45,5,2
2,2,55,5,3
2,2,65,6,3
2,3,55,5,2
2,2,60,6,3
2,1,55,5,4
2,2,85,7,3
2,1,35,4,3
2,1,85,7,4
2,1,60,6,4
2,2,35,4,2
2,1,55,5,3
2,1,50,5,3
2,1,120,10,5
2,6,80,7,2
2,4,60,6,2
2,2,55,5,2
2,4,55,5,1
2,1,65,6,4
2,2,80,7,3
2,2,70,6,3
2,1,90,8,4
2,2,75,7,3
2,3,80,7,2
2,4,60,6,2
2,2,85,7,3
2,3,70,6,2
2,1,70,6,4
2,4,55,5,1
2,5,65,6,1
2,1,75,7,4
2,6,55,5,1
2,2,40,4,2
2,2,35,4,2
2,1,55,5,4
2,5,70,6,1
2,1,70,6,4
2,2,55,5,2
2,1,35,4,3
2,1,55,5,3
2,2,75,7,3
2,2,65,6,3
2,1,45,5,3
2,1,75,7,4
2,6,70,6,1
2,1,65,6,4
2,1,65,6,4
2,4,70,6,2
2,2,50,5,2
2,2,50,5,2
2,2,45,5,2
2,1,70,6,4
2,3,100,8,3
2,1,55,5,4
2,1,70,6,4
2,6,70,6,1
2,4,45,5,1
2,2,35,4,2
2,2,45,5,2
2,3,65,6,2
2,4,45,5,1
2,6,65,6,1
2,1,45,5,3
2,1,50,5,3
2,1,45,5,3
2,1,70,6,4
2,2,45,5,2
2,3,65,6,2
2,2,55,5,3
2,3,35,4,1
2,1,50,5,3
2,2,65,6,3
2,2,55,5,3
2,2,70,6,3
2,2,45,5,2
2,6,30,4,1
2,1,80,7,4
2,2,55,5,3
2,2,60,6,3
2,3,45,5,2
2,3,70,6,2
2,1,70,6,4
2,2,60,6,3
2,4,75,7,2
2,2,100,8,3
2,2,65,6,3
2,5,65,6,1
2,5,45,5,1
2,2,55,5,3
2,4,45,5,1
2,2,75,7,3
2,3,90,8,3
2,1,50,5,3
2,2,65,6,3
2,1,40,4,3
2,3,45,5,2
2,2,50,5,2
2,2,85,7,3
2,2,65,6,3
2,1,90,8,4
2,1,60,6,4
2,1,70,6,4
2,1,85,7,4
2,1,40,4,3
2,2,75,7,3
2,2,65,6,3
2,2,95,8,3
2,2,50,5,2
2,4,40,4,1
2,2,100,8,3
2,1,40,4,3
2,3,80,7,2
2,2,65,6,3
2,2,55,5,3
2,1,60,6,4
2,3,35,4,1
2,3,100,8,3
2,1,45,5,3
2,1,40,4,3
2,5,55,5,1
2,5,60,6,1
2,3,70,6,2
2,3,40,4,2
2,1,90,8,4
2,6,45,5,1
2,2,65,6,3
2,3,80,7,2
2,6,90,8,2
2,2,60,6,3
2,2,65,6,3
2,5,70,6,1
2,2,75,7,3
2,6,55,5,1
2,2,75,7,3
2,1,75,7,4
2,2,40,4,2
2,2,50,5,2
2,4,65,6,2
2,1,45,5,3
2,4,75,7,2
